corp,size,num_fund,num_old_fund_rate,old_new_size_rate,mon_profit,three_mon_profit,six_mon_profit,year_profit
兴华基金管理,24.099999999999998,11,0.36363636363636365,0.017012448132780085,-1.2209708927636156,1.069087812290509,-0.6353364864263685,2.4716347254798565
兴证全球基金,3146.0699999999993,64,0.671875,0.8732418541227628,-1.429164475255096,1.7623929375993903,-0.2184881554685617,1.6968657568058219
兴证资管,13.25,17,0.11764705882352941,0.8022641509433963,-0.3387131025695465,0.5937478466591645,-0.30077590951865196,-0.21817622578871476
兴银基金,411.81000000000006,52,0.7115384615384616,0.9061946043078118,-0.4951954397705084,0.6842314279979161,0.12428960501229953,2.8397612545660786
农银汇理基金,1207.4799999999996,67,0.835820895522388,0.831558286679697,-1.9645034599911793,1.2089554419304414,1.5089645992620544,4.0353885750055944
凯石基金,10.809999999999999,8,0.875,1.0,-2.0578483492939403,-0.8360033967323708,-3.493101554479373,-4.4228544241316605
创金合信基金,577.6699999999998,152,0.6447368421052632,0.7863659182578291,-1.4473005590435566,0.36802341160052404,-0.9882610708031571,3.0984050058158523
前海开源基金,1233.3300000000002,150,0.88,0.9585917799777838,-0.6814293365768244,1.7441150441098345,-0.011814675891917892,2.6246998544735463
前海联合,265.79,60,0.9333333333333333,0.9806238007449489,-0.5609799116260743,1.877240529547204,-0.8332031536203777,-0.6238134217679895
北信瑞丰,22.040000000000003,21,0.9523809523809523,0.9042649727767694,-1.041577440919751,5.104835783462136,6.059863185287979,12.856927409705625
华创证券,0.0,2,0.0,,0.0,0.0,0.0,0.0
华商基金,613.4300000000002,90,0.7333333333333333,0.7530280553608396,-2.2654356596017933,1.4563801470824789,2.004570034569038,7.943549591479243
华夏基金,6885.330000000003,473,0.653276955602537,0.8178053920436639,-1.0878152353702555,0.6811296144046133,-0.9072758648149563,1.3049709626074149
华安基金,3587.0299999999993,278,0.6654676258992805,0.7434897394223079,-1.194213779826749,0.37564005040679177,-0.6528210125930576,2.5516022584986584
华安证券,20.740000000000002,12,0.25,0.6162005785920924,0.5708382801961154,0.7069017921318332,1.7224523340652313,3.541245150600936
华宝基金,1413.55,171,0.672514619883041,0.8635562944359944,-1.2989508109944186,0.5258287954771369,-0.2797064537366593,1.9916471718768436
华宸未来基金,4.15,5,0.6,0.18554216867469878,-0.09832529013270382,0.8872936337796032,0.5119057673458987,-0.3210423855574046
华富基金,402.65999999999997,74,0.7702702702702703,0.8196741667908408,-1.0556177659332988,1.3648490450464832,0.6835201245447788,4.310329436037541
华泰保兴,216.28000000000003,30,0.8666666666666667,0.9633808026632142,-1.4310003318957385,0.8743860279309985,-1.1381710777852763,-0.4871356789481462
华泰柏瑞基金,1513.3099999999997,159,0.6792452830188679,0.829545830001784,-1.9895201209059181,-0.8685625783646437,-2.176572050068937,1.9193769947077444
华泰证券(上海)资产管理,169.04000000000002,38,0.7368421052631579,0.9717818267865592,-0.3742847866178227,0.8228721999148619,1.6091480710718733,3.005476567027987
华润元大基金,79.87,29,0.9310344827586207,1.0,-1.3429964788592892,1.3361904027415907,-1.9639764735119,-0.26701164014251105
华融基金,36.94,8,0.5,0.7674607471575529,0.038149698079892144,1.295801460604534,0.9350880498612584,1.2430308533020393
华鑫证券,1.19,2,0.0,0.0,0.0,0.0,0.0,0.0
南华基金,94.34999999999998,21,0.8095238095238095,0.5237943826179121,-1.1590350061995327,1.1909579950018894,-1.2345320090154526,3.7119899107593683
南方基金,5564.370000000004,455,0.756043956043956,0.788261743917101,-1.2614529575615183,0.26256500133241467,-1.7759584225730414,-0.3614260528028229
博时基金,5089.470000000003,476,0.6974789915966386,0.8270055624652465,-0.8364440252651584,0.7030472517598224,-0.6702705945896976,0.8937912676473354
博远基金,23.589999999999996,13,0.6923076923076923,0.5260703688003392,0.320335576611919,0.6207394639321013,-1.2587220168209021,1.2519633110659685
博道基金,264.62,34,0.7941176470588235,0.7456730405865013,-2.97756866412532,0.5743993463086073,-0.3087629432329748,7.219694487785482
合煦智远基金,2.67,6,1.0,1.0,-0.6776071657588897,5.456441806064636,1.1571479981034016,3.8074841564413524
同泰基金,37.88000000000001,36,0.5,0.45089757127771896,-2.071684414842268,0.027820977320225933,-3.6621255912316832,1.8288965831092148
嘉合基金,195.21,35,0.7714285714285715,0.5603196557553405,-1.6814818519053814,0.4728486521657665,-3.1574492095345925,-2.570410817923836
嘉实基金,4603.889999999999,362,0.6878453038674033,0.7437862329464863,-1.2060852033636047,0.022542984685309846,-1.8823060597599646,-0.4476312028819083
国信证券,0.49,1,0.0,0.0,0.0,0.0,0.0,0.0
国元证券,0.0,1,0.0,,0.0,0.0,0.0,0.0
国寿安保基金管理,1452.8700000000001,127,0.7086614173228346,0.8402816494249313,-0.47372948730888953,1.4503554479312792,0.5823749397280275,2.821049298914078
国投瑞银基金,992.5899999999999,105,0.7523809523809524,0.7953434953001743,-1.2969695203433316,0.0722494714431381,0.2521302846773584,2.803639641719579
国泰基金,2811.8400000000006,285,0.6385964912280702,0.8697827756913622,-1.1477551204076206,0.5271053355058506,-0.4434835233350603,2.0627121419644388
国海富兰克林基金,603.5399999999997,54,0.8333333333333334,0.9213805215892897,-1.505800854746498,-0.8078605759818351,-3.1885311593558243,-0.5799585846116861
国海证券,4.3,4,0.0,0.0,0.0,0.0,0.0,0.0
国联安基金,654.2700000000001,92,0.8586956521739131,0.8702981949348125,-0.9727141015056071,0.5729785253365687,-0.2706071864717591,0.47896158969450237
国联证券,4.36,7,0.0,0.0,0.0,0.0,0.0,0.0
国融基金,2.81,14,0.8571428571428571,0.27046263345195737,-2.100230260229861,-1.977546004540541,-11.029509265593054,-15.6837280884637
国都证券,0.96,4,0.75,0.3229166666666667,-1.4965696541397542,0.3130682429040149,-12.002900932254157,-14.886091006952661
国金基金,71.58999999999999,37,0.7837837837837838,0.7516412906830562,-0.7598674595647626,0.8967760315456086,-0.42065882821017375,0.45235434847115885
圆信永丰基金,352.12999999999994,40,0.85,0.6274103314116944,-0.7923674173494055,3.9221224953205267,-0.4855391761305471,4.8379516696699145
